iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"759,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PGR","PROGRESSIVE CORP","Financials","Equity","679,176,121.52","0.22","679,176,121.52","5,291,182.00","128.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","673,594,615.39","0.22","673,594,615.39","6,959,341.00","96.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","633,737,380.56","0.21","633,737,380.56","4,999,506.00","126.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","629,990,199.71","0.21","629,990,199.71","9,607,903.00","65.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","616,240,997.68","0.20","616,240,997.68","4,231,262.00","145.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","606,868,504.90","0.20","606,868,504.90","1,145,251.00","529.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","596,723,915.68","0.20","596,723,915.68","19,323,961.00","30.88","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","596,614,481.16","0.20","596,614,481.16","3,702,001.00","161.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","596,460,491.93","0.20","596,460,491.93","3,614,693.00","165.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","595,379,573.28","0.20","595,379,573.28","2,008,161.00","296.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","584,086,066.36","0.19","584,086,066.36","9,970,742.00","58.58","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","580,828,152.13","0.19","580,828,152.13","2,574,707.00","225.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Information Technology","Equity","577,276,879.32","0.19","577,276,879.32","5,780,862.00","99.86","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","577,100,362.56","0.19","577,100,362.56","2,543,637.00","226.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","575,804,509.24","0.19","575,804,509.24","7,530,794.00","76.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","573,766,613.64","0.19","573,766,613.64","1,904,177.00","301.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","565,415,608.20","0.19","565,415,608.20","1,238,046.00","456.70","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","560,959,477.50","0.19","560,959,477.50","3,251,939.00","172.50","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","556,281,264.24","0.18","556,281,264.24","12,948,819.00","42.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","552,184,501.29","0.18","552,184,501.29","3,040,831.00","181.59","United States","NASDAQ","USD","1.00","USD","-"
